Description,No,Barcode,Serial Number,Status,Second,Cost
CLIMBING BOARD-PRICE ESTIMATE,16,1000356,,ACTIVE,Current,4000.0
CLINI SHAKER SAKURA MODEL:3306310B TIYODA,18,1006692,4408197,ACTIVE,0.00,
CLINIBATH MODEL:980911 TIYODA,91,1006693,4410298,ACTIVE,0.00,
CLINICAL RESEARCH/PATHOLOGY BLOCK,8,1006793,,ACTIVE,Current,24899328.0
CLINICAL WING LAB BLOCK,3,1008776,,ACTIVE,Current,10985000.0
CLIP CHART STAND,18,1001488,,ACTIVE,Current,2000.0
CLOCK SAMAY QUARTZ-PRICE EST,3,1008180,,ACTIVE,Current,1000.0
CLOCK-PRICE EST,4,1008159,,ACTIVE,Current,1000.0
CLOSED WOODEN CABINENT,21,1001932,,ACTIVE,Current,15000.0
CMR CONTAINER 1,1,1006817,,ACTIVE,Current,5745001.2
CMR CONTAINER 2,2,1006818,,ACTIVE,Current,4590813.0
CMR OFFICE BUILDING,3,1006819,,ACTIVE,Current,8092281.6
CMR PREFAB BUILDING,4,1006816,,ACTIVE,Current,12298366.0
CO2 GAS CYLINDER-PRICE ESTIMATE,13,1006704,,ACTIVE,Current,20000.0
CO2 INCUBATOR MEMMEST-OM02393,20,1004425,102.0565,ACTIVE,Current,24147.0
CO2 INCUBATOR MF: HERAEUS MD:B5060EK/CO2,8,1008712,50001547,ACTIVE,Current,24147.0
CO2 INCUBATOR MF: PANASONIC MODEL: MCO-18,9,1008528,12080218,ACTIVE,Current,24147.0
CO2 INCUBATOR SANYO-OM02393,19,1006699,30404671,ACTIVE,Current,24147.0
CO2 INCUBATOR-OM02393,34,1001864,10020050,ACTIVE,Current,24147.0
COAT HANGER-PRICE ESTIMATE,23,1006077,,ACTIVE,Current,2000.0
COBAS AMPLIPREP - ROCHE,11,1008244,393241-PREX,ACTIVE,0.00,
COBAS TAQMAN - ROCHE,97,1002484,,,ACTIVE,0.0
COBAS TAQMAN ROCHE,12,1008245,391971-TAQ,ACTIVE,,
COFFEE TABLE,2,1008161,,ACTIVE,Current,12000.0
COLDBOX DAIWA S-46D,17,1004449,,NOT WORKING,Current,5000.0
COLONOSCOPY MACHINE,18,1004638,205024,,ACTIVE,0.0
COMBCOLDRAC CABINET MODEL:LKB,54,1006748,375,,ACTIVE,0.0
COMPACT INCUBATOR LEEC,98,1002389,K10J241,,ACTIVE,0.0
COMPAQ COMPUTER,11,1003648,6041DYSZE980,ACTIVE,Acquired,90000.0
COMPAQ CPU,12,1003174,NL24815542,OBSOLETE,Acquired,60000.0
COMPAQ EVO MODEL: D310,1,1008514,,ACTIVE,Current,15000.0
COMPAQ KEYBOARD,4,1004123,4ZL4D4J,ACTIVE,Current,100.0
COMPAQ KEYBOARD MODEL:SDM4700P,7,1000162,,ACTIVE,Current,100.0
COMPAQ MONITOR,4,1005913,CNT01841L1,ACTIVE,Current,9000.0
COMPAQ MONITOR MODEL 5500,8,1001925,247BK43LG071,ACTIVE,Current,9000.0
COMPAQ MONITOR MODEL V50,3,1005610,741BC180F140,OBSOLETE,Current,9000.0
COMPAQ MONITOR V500,13,1007811,950BJ11AS074,ACTIVE,Current,9000.0
COMPAQ UPS,111,1004111,FT365,ACTIVE,Current,5000.0
COMPAQ UPS BT650ML,112,1004124,,ACTIVE,Current,5000.0
COMPOUND MICROSCOPE ECLIPSE 50 YS100(NIKO,1,1002939,531386,ACTIVE,Current,15000.0
COMPOUND MICROSCOPE ECLIPSE 50(NIKON CAB,10,1002931,812226,ACTIVE,Current,15000.0
COMPOUND MICROSCOPE ECLIPSE 50(NIKON),11,1002932,812253,ACTIVE,Current,15000.0
COMPOUND MICROSCOPE NIKON KY-F55E(VICTOR,26,1002816,754633,ACTIVE,Current,5000.0
COMPOUND MICROSCOPE(NIKON),27,1002812,541479,ACTIVE,Current,5000.0
COMPRESSOR-PRICE ESTIMATE,22,1000332,003,ACTIVE,Current,10000.0
COMPUTER,21,1000007,34611588979,ACTIVE,Current,20000.0
COMPUTER BENCH,24,1002797,,ACTIVE,Current,15000.0
COMPUTER DESK,1,1003065,,ACTIVE,Current,15000.0
COMPUTER DRAWER,29,1003139,,ACTIVE,Current,5000.0
COMPUTER SPEAKER MODEL: HK206,1,1006953,5N403-69800-275-1321,ACTIVE,Current,1000.0
COMPUTER STAND,41,1000720,,ACTIVE,Current,5000.0
COMPUTER TABLE,7,1001664,,ACTIVE,Current,12000.0
COMPUTER WORKING BENCH,3,1005315,,ACTIVE,Current,15000.0
COMPUTER WORKING STATION,85,1006506,,ACTIVE,Current,12000.0
COMPUTER WORKING TABLE,39,1005150,,ACTIVE,Current,15000.0
CONFERENCE CHAIR,277,1001446,,ACTIVE,Current,25000.0
CONFERENCE CHAIR-PRICE EST,152,1008139,,ACTIVE,Acquired,9000.0
CONFERENCE TABLE,93,1005834,,ACTIVE,Current,35000.0
CONFERENCE TABLE(PIECE),56,1004259,,ACTIVE,Current,75000.0
CONFERENCE TABLE(UNIT),96,1002165,,ACTIVE,Current,1500.0
CONFERENCE TABLE-PRICE EST,3,1008138,,ACTIVE,Current,15000.0
COOKER ARMCO-OM00134,15,1001684,29687736,ACTIVE,Scrap value,4000.0
COOKER BELLING COMPACT 4-OM2181,1,1004396,430N,ACTIVE,Current,1337.59
COOKER DOUBLE BURNER,16,1000760,,ACTIVE,Current,9500.0
COOKER EHP-401SS-OM00134,2,1004458,,ACTIVE,Scrap value,4000.0
COOKER KENWOOD-OM00134,17,1003527,,ACTIVE,Current,4000.0
COOKER OZAKI,18,1000759,,NOT WORKING,Current,5000.0
COOKER RAMTONS-OM00134,3,1004522,,ACTIVE,Scrap value,4000.0
COOL FREEZER/BOX,3,1004280,,ACTIVE,Current,5000.0
COOL INCUBATOR ICP 400*SCHUTZART MEMMER G,99,1002893,K4050011,ACTIVE,Current,248371.0
COULTER MIXER LEGENDRE(ENGLAND) 14-RUE,4,1004998,324,,ACTIVE,0.0
CPHR MAIN OFFICE BUILDING,5,1006814,,ACTIVE,Current,60550540.3
CPU,28,1000302,20433065368,ACTIVE,Acquired,60000.0
CPU - 5GT1R2J ALREADY EXISTS IN DATABASE,43,1003666,,ACTIVE,Acquired,60000.0
CRATES,42,1001389,,ACTIVE,Current,2000.0
CRYOSA COLD TOME MODEL CM-41,100,1001294,,,ACTIVE,0.0
CULTURE INCUBATOR(CELL) MODEL K01C185,101,1002665,,,ACTIVE,0.0
CULTURE INCUBATOR(SAKURA) MODEL IF-3B,102,1002599,4308704,,ACTIVE,0.0
CUMMINS POWER GENERATOR TYPE: CS40-5,14,1007394,E00K091430,ACTIVE,Current,50000.0
CUPBOARD,44,1001572,,ACTIVE,Current,4280.0
CUTTING MACHINE NOGUCHI PRESS,23,1000337,5Y300Y6,ACTIVE,0.00,
DEEP FREEZER - CHASE-OM01818,2,1000774,,ACTIVE,Current,27775.0
DEEP FREEZER MDF-U3286F(SANYO BIOMEDICAL)-O,3,1002869,50912747,ACTIVE,Current,28424.0
DEEP FREEZER MODEL BT50169,4,1003362,K01D142,ACTIVE,Current,180000.0
DEEP FREEZER MODEL: WHITE WESTING 393-OM0151,9,1005269,,ACTIVE,Current,33858.0
DEEP FREEZER SANYO(-80C)-OM01752,5,1000883,50404873,ACTIVE,Current,42834.0
DEEP FREEZER(-85C) MF:SANYO MD:MDF-192AT,2,1008713,70908245,ACTIVE,Current,42834.0
DEFIBRILLATOR MODEL: TEC 3500,103,1000128,,,ACTIVE,0.0
DEIONIZER MILLIPORE SRC:JAPAN MODEL:ZMQ-5500,21,1005018,F9EM-51648E,ACTIVE,Current,331014.0
DELL BACKUP UPS,114,1005904,,ACTIVE,Acquired,5000.0
DELL BACKUP UPS 650 APC,116,1006214,,ACTIVE,Acquired,5000.0
DELL COMPUTER 755 MODEL: DC8M,2,1008505,J8LVHBX,ACTIVE,Current,60000.0
DELL CPU,3,1007900,C1TD8R1,ACTIVE,Acquired,60000.0
DELL CPU GX300,49,1007117,58BB201,ACTIVE,Acquired,60000.0
DELL CPU MODEL 19852605901,244,1000430,94BQ8R1,ACTIVE,Acquired,60000.0
DELL CPU MODEL BENQ,74,1005318,,OBSOLETE,Acquired,60000.0
DELL CPU MODEL D12M,245,1001007,63N98R1,ACTIVE,Acquired,60000.0
DELL CPU MODEL DHS,246,1000493,JHFJR0J,ACTIVE,Acquired,60000.0
DELL CPU MODEL OPTIPLEX,247,1003045,BY9R8R1,ACTIVE,Acquired,60000.0
DELL CPU MODEL OPTIPLEX 380,248,1003093,TL5535J,ACTIVE,Acquired,90000.0
DELL CPU MODEL OPTIPLEX 745,249,1003120,8G82R2J,ACTIVE,Acquired,60000.0
DELL CPU MODEL OPTIPLEX 780,251,1001014,,ACTIVE,Acquired,60000.0
DELL CPU MODEL OPTIPLEX 890,252,1003056,BP5X8R1,ACTIVE,Acquired,60000.0
DELL CPU MODEL OPTIPLEX GX520,253,1003204,,OBSOLETE,Acquired,60000.0
DELL CPU MODEL OPTIPLEX GX620,254,1005773,X11-45391,ACTIVE,Acquired,60000.0
DELL CPU MODEL: 36046203661,255,1000434,GK4Z8R1,ACTIVE,Acquired,60000.0
DELL CPU MODEL: 56XMTRP,75,1005121,,ACTIVE,Acquired,60000.0
DELL CPU MODEL: OPTIPLEX GX520,256,1005780,G06T32J,ACTIVE,Acquired,60000.0
DELL CPU MODEL: OPTIPLEX GX620,257,1005777,H4CK62J,ACTIVE,Acquired,60000.0
DELL CPU OPTIPLEX 390,13,1008213,6BLC8R1,ACTIVE,Acquired,60000.0
DELL CPU SERVICE CODE:42130794808,259,1000497,JCRL5BS,ACTIVE,Acquired,60000.0
DELL CPU SN:7KJLT2J?,16,1008585,,ACTIVE,Acquired,60000.0
DELL CPU X11-45371,260,1005922,,ACTIVE,Acquired,60000.0
DELL CPU(OPTIPLEX 330),261,1002667,402V815,ACTIVE,Acquired,60000.0
DELL CPU(OPTIPLEX 390),262,1002670,B94Z8R1,ACTIVE,Scrap value,6000.0
DELL CPU(OPTIPLEX GX520),264,1002081,0925XV15,ACTIVE,Acquired,60000.0
DELL CPUMODEL DHS,265,1000494,JQVT21J,ACTIVE,Acquired,60000.0
DELL DESKTOP,26,1003610,5GT1R2J,ACTIVE,Acquired,90000.0
DELL DIMENSION 2400 MODEL: MTC2,17,1008298,314FK5I,ACTIVE,Current,15000.0
DELL KEYBOARD,1,1008686,KB4021,ACTIVE,Acquired,2000.0
DELL KEYBOARD E145614,200,1005809,,ACTIVE,Acquired,5000.0
DELL KEYBOARD MODEL KB212-B,201,1000433,22T-018Q-A01,ACTIVE,Acquired,5000.0
DELL KEYBOARD MODEL SK-8115,202,1000492,E145614,ACTIVE,Acquired,5000.0
DELL KEYBOARD MODEL: E134780,17,1008397,,ACTIVE,Acquired,2000.0
DELL KEYBOARD MODEL: E91912HC,18,1008389,,ACTIVE,Acquired,2000.0
DELL KEYBOARD MODEL: K212B,19,1008329,,ACTIVE,Acquired,2000.0
DELL KEYBOARD MODEL: KB 212B,20,1008275,,ACTIVE,Acquired,2000.0
DELL KEYBOARD MODEL: KB1421,21,1008413,,ACTIVE,Acquired,2000.0
DELL KEYBOARD MODEL: KB212-B,25,1008317,CN-OHWRDI-71581-225-047,ACTIVE,Acquired,2000.0
DELL KEYBOARD MODEL: KB212B,26,1008321,CN-0HWR01-71581-22T-00JY,ACTIVE,Acquired,2000.0
DELL KEYBOARD MODEL: SK-8185,204,1000498,OY526K,ACTIVE,Acquired,5000.0
DELL KEYBOARD MODEL:KB212-B,205,1000215,,ACTIVE,Acquired,5000.0
DELL LAPTOP INSPIRON,266,1003673,2381578525,ACTIVE,Acquired,60000.0
DELL MONITOR,7,1007916,CN-0GU625-72872-6CQ-0T7,ACTIVE,Current,9000.0
DELL MONITOR (OPTIPLEX 390),186,1002077,CN-02N00N64180-23L-1XCM,ACTIVE,Current,9000.0
DELL MONITOR 14,187,1002363,,ACTIVE,Current,9000.0
"DELL MONITOR 14""",188,1002240,CN0T53NN,ACTIVE,Current,9000.0
"DELL MONITOR 14"" CN02N00N64",76,1004312,,ACTIVE,Current,9000.0
"DELL MONITOR 14""""""",71,1004628,CN02N00N-641,ACTIVE,Current,9000.0
"DELL MONITOR 15""",214,1002668,CN-0RY980-46633-75F-5WPS,ACTIVE,Current,9000.0
"DELL MONITOR 17""",215,1002669,CN-0T5JNN-72872-E5FM,ACTIVE,Current,9000.0
DELL MONITOR MODEL E191121TC,220,1000422,110044-12,ACTIVE,Current,9000.0
DELL MONITOR MODEL E551,221,1000490,CN0724JR-46633-359-15X8,ACTIVE,Current,9000.0
DELL MONITOR MODEL: E7718,55,1007284,CN2317P,ACTIVE,Current,9000.0
DELL MONITOR MODEL: EI98WFPF,24,1008506,72872-84G-50FS,ACTIVE,Current,9000.0
DELL MONITOR MODEL:KE 212-B,223,1000429,225-ONHC-H01,ACTIVE,Current,9000.0
DELL MOUSE,1,1008480,011D3V-71581-229-0378,ACTIVE,Current,500.0
DELL MOUSE MODEL: DPN-XN988,8,1008442,,ACTIVE,Current,200.0
DELL MOUSE MODEL: DPN-YN988,9,1008508,,ACTIVE,Current,200.0
DELL MOUSE MODEL: M-UVOELI,10,1008489,,ACTIVE,Current,200.0
DELL MOUSE MODEL: MO71JC,11,1008393,,ACTIVE,Current,200.0
DELL MOUSE MODEL: MOC2540,12,1008477,,ACTIVE,Current,200.0
DELL MOUSE MODEL: MOC540,14,1008485,,ACTIVE,Current,200.0
DELL MOUSE MODEL: MS111-P,16,1008429,,ACTIVE,Current,200.0
DELL MOUSE MODEL:MS111-P,42,1008398,,ACTIVE,Current,200.0
DELL OPTIPLEX 3020,52,1006903,35981374178,ACTIVE,Acquired,60000.0
DELL OPTIPLEX 380,19,1008300,GLSS35J,ACTIVE,Acquired,60000.0
DELL OPTIPLEX 380 MODEL: DCCYIF,20,1008516,IJSS35J,ACTIVE,Acquired,60000.0
DELL OPTIPLEX 390,55,1006861,37049867533,ACTIVE,Acquired,60000.0
DELL OPTIPLEX 390 CPU,57,1006854,43462361485,ACTIVE,Acquired,60000.0
DELL OPTIPLEX 390 MODEL: D12M,22,1008268,DKHH8R1,ACTIVE,Acquired,60000.0
DELL OPTIPLEX 390 MODEL: D12M SN:J5SK8R1?,38,1008283,,ACTIVE,Acquired,60000.0
DELL OPTIPLEX 390 MODEL: DC2M SN: CYPH8R1?,39,1008278,,ACTIVE,Acquired,60000.0
DELL OPTIPLEX 390 MODEL:D12M,40,1008284,FYMBH8RI,ACTIVE,Acquired,60000.0
DELL OPTIPLEX 745,44,1008527,6FJLT25,ACTIVE,Acquired,60000.0
DELL OPTIPLEX 745 MODEL(DCSM),46,1008511,7KLT2J,ACTIVE,Acquired,60000.0
DELL OPTIPLEX 755 MODEL: DC6M,47,1008475,HNLVHBX,ACTIVE,Acquired,60000.0
DELL OPTIPLEX 755 MODEL: DC6M SN:HNLVHBX?,48,1008497,,ACTIVE,Acquired,60000.0
DELL OPTIPLEX 760,49,1008512,,ACTIVE,Acquired,60000.0
DELL OPTIPLEX 760 MODEL: DCSM,52,1008526,8B74D4J,ACTIVE,Acquired,60000.0
DELL OPTIPLEX 760 MODEL: DCSM SN:JV94D4J?,53,1008517,,ACTIVE,Acquired,60000.0
DELL SCANNER,9,1003906,HPG2710,ACTIVE,Current,5000.0
DELL SPEAK,10,1001158,,ACTIVE,Current,2500.0
DELL SPEAKER,11,1001194,,ACTIVE,Current,2500.0
DELL UPS,113,1003503,SUA22001,ACTIVE,Current,5000.0
DELL UPS 650,136,1000365,,ACTIVE,Acquired,5000.0
DELL UPS 650 APC,138,1001660,,ACTIVE,Acquired,5000.0
DELL UPS 650TW,146,1003761,,ACTIVE,Acquired,5000.0
DELL UPS APC650,147,1003987,,ACTIVE,Acquired,5000.0
DELL UPS BX650C,148,1006317,,ACTIVE,Acquired,5000.0
DESK,27,1002766,,ACTIVE,Current,15000.0
DIAVERT MICROSCOPE,28,1002685,9870088,ACTIVE,Current,145000.0
DIGITAL BLOOD PRESSURE MACHINE OMRON,2,1008226,20090504084LF,ACTIVE,Current,95000.0
DIGITAL CAMERA MICROSCOPE DXM 1200 F(24408),29,1002813,,,ACTIVE,0.0
DIGITAL STORAGE OSCILLOSCOPE MODEL:D556521,37,1000414,D556521,ACTIVE,0.00,
DIGITAL WEIGHING SCALE SCOUT PRO,22,1004527,7129090665,,ACTIVE,0.0
DIRECTOR'S/RESEARCH'S AND ICT OFFICE BLOCK,4,1008777,,ACTIVE,Current,8580000.0
DISPENSOR STRUERS,5,1004548,611704,,ACTIVE,0.0
DISSECTING MICROSCOPE - CABINET 3,30,1002972,1010973,ACTIVE,Current,5000.0
DISSECTING MICROSCOPE CD-S(NIKON) CABINET 4,31,1002955,1011009,ACTIVE,Current,5000.0
DISSECTING MICROSCOPE CD-S(NIKON)-SALVG(198,32,1002956,1010992,ACTIVE,Current,10000.0
"DISSECTING MICROSCOPE MFG: NIKKON, ECLIPSE T",38,1006685,,ACTIVE,Current,5000.0
DISSECTING MICROSCOPE MFG: OLYMPUS,39,1006684,,ACTIVE,Current,5000.0
DISSECTING MICROSCOPE(NIKON),40,1002818,1010865,ACTIVE,Current,5000.0
DISSECTING MICROSCOPE-SALVG(2003),41,1002973,1010823,ACTIVE,Current,10000.0
DISTILLER MF:HAMILTON MODEL: AWC/4DRS/25,13,1008549,2020A,ACTIVE,,
DISTILLER MILLIPORE SRC:JAPAN MODEL:ZLX-55010Y,23,1005017,F9HM-61984D,ACTIVE,Current,11081.84
DISTILLER-OM02359,21,1006614,ETFS,ACTIVE,Current,308286.0
DISTRIBUTOR,104,1001898,31330700006,,ACTIVE,0.0
DLINK NETWORK SWITCH,15,1006865,F40238200758,ACTIVE,Current,4800.0
DNA EXTRACTION MACHINE EXIPREP 1-OM01221,105,1001840,DX-1302027,ACTIVE,Current,2429222.0
DNA EXTRACTION MACHINE EXIPREP 2-OM01221,106,1001839,DX-1302028,ACTIVE,Current,2429222.0
DNA EXTRACTION MACHINE EXIPREP 3-OM01221,107,1001838,DX-1302029,ACTIVE,Current,2429222.0
DNDI BUILDING,9,1006785,,ACTIVE,Current,4733466.0
DO'S HOUSE,2,1008788,,ACTIVE,Current,7540000.0
DOUBLE DISTILLER - AQUATRON A4000D DST/01,108,1002429,,,ACTIVE,0.0
DOUBLE SHAKER,24,1000904,5042212,ACTIVE,0.00,0.0
DOUBLE SHAKER NR-30(TAITECH JAPAN),110,1002920,5042214,,ACTIVE,0.0
DOUBLE SHAKER NR-50(TAITECH JAPAN),111,1002926,5042215,,ACTIVE,0.0
DRAWER,48,1001680,,ACTIVE,Current,5000.0
DRAWERS - METALLIC UCHIDA-PRICE ESTIMATE,1,1000042,,ACTIVE,Current,6000.0
DRIER (PRECISION) MODEL 4EM-OM02148,113,1002692,10-AJ11,ACTIVE,Current,3552.56
DRIER-OM02148,24,1005027,,ACTIVE,Scrap value,3552.56
DRILLING MACHINE AKTIE BOLAGET-OM00276,25,1006565,32383,ACTIVE,Current,8307.0
DRILLING MACHINE FLATT,26,1006564,00848,ACTIVE,0.00,
DRILLING MACHINE KIRA,27,1000330,452710,ACTIVE,Current,9439.0
DRIP STAND,52,1000529,,ACTIVE,Current,1000.0
DRUG CABINET MARUWA LION-PRICE ESTIMATE,2,1004379,,ACTIVE,Current,7000.0
DRUG CABINET NARUWA LION-PRICE ESTIMATE,3,1004346,,ACTIVE,Current,7000.0
DRUG SHELF,32,1000398,,ACTIVE,Current,8000.0
DRY POWDER EXTINGUISHER-PRICE ESTIMATE,2,1000095,,ACTIVE,Current,12000.0
DRY VACUUM PUMP MIXIMADAY-OM01970,114,1002432,KE/EP1-52,ACTIVE,Current,183690.0
DRYER(PARAGON) MODEL:6558 BECKMAN,23,1006738,2435,ACTIVE,0.00,
DRYING OVEN,115,1002410,BTJ0070,ACTIVE,Current,220000.0
DRYING OVEN FSP-650-OM01022,25,1004443,FG32R,ACTIVE,Current,14923.0
DRYING OVEN MEMMERT-OM2178,26,1004526,,ACTIVE,Current,10521.27
DRYING OVEN MODEL MEMMERT,116,1003275,185108,ACTIVE,Current,220000.0
DRYING OVEN MODEL N30C-OM01022,117,1003299,92M031,ACTIVE,Current,14923.0
DRYING OVEN MODEL PM-400-OM01022,118,1001290,,ACTIVE,Current,14923.0
DRYING OVEN MODEL SUKURA TK-21,119,1003186,4308090,ACTIVE,Current,220000.0
DRYING OVEN MODEL:T5050 HERAEUS-OM01633,24,1006724,8204267,ACTIVE,Current,14212.0
DRYING OVEN R.K.I-OM01022,6,1004329,1601-SB,ACTIVE,Current,14923.0
DRYING OVEN TK-21-OM01636,120,1000142,4410131,ACTIVE,Current,18476.0
DRYING OVEN-OM01764,121,1001329,03020110,ACTIVE,Current,15889.0
DSTV DECORDER,17,1004279,MCMW7,ACTIVE,Current,4000.0
DUST BIN,55,1002597,,ACTIVE,Current,1500.0
DUSTBIN,56,1002598,,ACTIVE,Current,1500.0
EATON MODEL: EX3000RT,14,1008459,AQ3N3709R,ACTIVE,,
ECG LIFE SCOPE 8 MONITOMODEL: OEC - 3500,122,1000129,,,ACTIVE,0.0
ECG MACHINE 1 501.1-1,123,1001456,,,ACTIVE,0.0
ECG MACHINE 109201394709,124,1001461,,,ACTIVE,0.0
ECG MACHINE 2,126,1001454,501.1-M90,ACTIVE,Current,70000.0
ECG MACHINE 3 9620M-OM00639,127,1001455,,ACTIVE,Current,13090.0
ELECTICAL BALANCE S:JAPAN-OM01933,28,1005009,5029954,ACTIVE,Current,9593.1
ELECTRIC BALANCE MF:SHIMADZU MD:AUY220,16,1008718,D449801134,ACTIVE,,
ELECTRIC FAN,16,1007446,10421,ACTIVE,Current,5000.0
ELECTRIC FAN MODEL: EFBS16ST,17,1007405,460400207,ACTIVE,Current,5000.0
ELECTRO THERMAL SRC:ENGLAND,29,1005029,MG-467,,ACTIVE,0.0
ELECTROFORENSIC BIO-RAD,128,1002385,,,ACTIVE,0.0
ELECTROMANTLE MODEL:EM2000,25,1006777,10595375,ACTIVE,0.00,
ELECTRON MICROSCOPE BLOCK,10,1006784,,ACTIVE,Current,12371853.6
ELECTRONIC BALANCE SARTORIUS-SALVG-SALVG,30,1004551,90106150,ACTIVE,Current,5000.0
ELECTRONIC BALANCE(MC-300)-SALVG-SALVG,129,1002347,,ACTIVE,Current,5000.0
ELECTRONIC CALCULATOR - CASIO DR-T140-PRICE,6,1007906,KE014808,ACTIVE,Current,1500.0
ELECTRONIC WEIGHING SCALE,130,1000144,7126411109,,ACTIVE,0.0
ELECTROPHORESIS METRE TANK S:ENGLAND MODEL:,31,1005016,1936,,ACTIVE,0.0
ELECTROPHORETIC GEL SYS MODEL MAXICELL PRIM,131,1002588,,,ACTIVE,0.0
ELECTROPHORETIC GEL SYSTEM POWER SUPPLY 250/,132,1002589,771BR1044,ACTIVE,Current,20457.0
ELEKTA FAN MODEL: EFNS-1688R-MK11,7,1008354,SFD861-EFNS1688R-11701190,ACTIVE,Current,5000.0
ELISA MICROPLATE READER D: STAT FAX-3200-PRICE,17,1008738,3200-1739,ACTIVE,Current,305140.0
ELISA PLATE WASHER MD: STAT FAX-2600,18,1008737,2600-4015,ACTIVE,,
ELISA READER ELX 800UV(BIOTECH INSTRUMENTS),133,1002822,266048,ACTIVE,Current,305140.0
ELISA READER MINDRTAY MW-12A,134,1002382,WF26102378,,ACTIVE,0.0
ELISA READER MODEL 340,135,1002054,1208-028,ACTIVE,Current,305140.0
ELISA READER MODEL:RM521 MFG:LABSYSTEMS,27,1006688,3550,ACTIVE,Current,305140.0
ELISA READER TPA ELX800UV(BIOTECH INSTRUMENTS,136,1002817,241990,ACTIVE,Current,305140.0
ELISA READER(TITERTEK MULTISKAN MCC) MODEL 34,137,1002055,1908037,ACTIVE,Current,305140.0
EMERGENCY TROLLEY,57,1001460,,ACTIVE,Current,3266.56
ENDOSCOPIC TROLLEY MODEL: KT-1,59,1000126,,,ACTIVE,0.0
ENDOSCOPY COUCH MODELK1020B,60,1000122,,,ACTIVE,0.0
ENDOSCOPY UNIT MODEL OLYMPUS CLV-U40-OM0,138,1000125,,ACTIVE,Current,44244.0
ENGINEERING WORKSHOP,11,1006791,,ACTIVE,Current,5317044.0
EPPENDORF CENTRIFUGE MF: EPPENDORF MODEL: 5,19,1008546,5407B1633536,ACTIVE,,
EPSON DOT MATRIX PRINTER MODEL: LX-200X11,1,1008503,G8G7736411,ACTIVE,Current,10000.0
EPSON PRINTER MODEL DFX900,2,1001153,GKL-002550,ACTIVE,Current,25000.0
EPSON SCANNER,26,1003984,V500,ACTIVE,Current,16197.0
EPSON SCANNER (3170 PHOTO),13,1007471,ETSW175545,ACTIVE,Current,16197.0
EPSON SCANNER MODEL: 3170 PHOTO,28,1006410,E98W126145,ACTIVE,Current,16197.0
EVAPORATOR(CENTRIVAP) MODEL:7810001B) LABC,28,1006741,265703,ACTIVE,0.00,
EVAPORATOR(THIN FILM) MODEL:CH 4711 MFG: GA,29,1006772,OC 4581E,ACTIVE,Current,5329.28
EXAMINATION BED-PRICE EST,1,1008238,,ACTIVE,Current,10209.76
EXAMINATION COUCH-FF02087,61,1000084,,ACTIVE,Current,12581.36
EXAMINATION LIGHT-OM02043,139,1000200,,ACTIVE,Current,784.96
EXAMINATION TROLLEY,70,1000375,,ACTIVE,Current,3266.56
EXECUTIVE CHAIR,278,1001584,,ACTIVE,Current,25000.0
EXECUTIVE CHAIR-PRICE EST,164,1008151,,ACTIVE,Current,25000.0
EXECUTIVE CHAIRS,470,1002202,,ACTIVE,Current,25000.0
EXECUTIVE OFFICE TABLE,64,1004224,,ACTIVE,Current,15000.0
EXECUTIVE SEAT,472,1001163,,ACTIVE,Current,25000.0
EXECUTIVE TABLE -FF02066,101,1000462,,ACTIVE,Current,41575.6
EXICYCLER,140,1001841,EX1-05C-1301039,,ACTIVE,0.0
EXPOSURE CONTROL UNIT,141,1001343,410071,,ACTIVE,0.0
EXPRESSCOOL FRIDGE,5,1006838,8021NLV00056,ACTIVE,Current,15000.0
EXTENSION CABLES,72,1000483,,ACTIVE,Current,1500.0
EXTRA LARGE MICROWAVE OVEN(RAMTONS) MODE,1,1002063,02995|1012|686,ACTIVE,Current,35000.0
FACIT CALCULATOR C365-PRICE EST,22,1006993,2740505,ACTIVE,Current,1500.0
FAN MODEL KENWOOD,19,1005401,,OBSOLETE,Current,5000.0
FAN MODEL: ELEKTA,8,1008187,,ACTIVE,Current,5000.0
FAN MODEL: SANYO,20,1005367,,ACTIVE,Current,5000.0
FAX MACHINE PANAFAX-OM02464,51,1003770,UF-490,ACTIVE,Current,16711.2
FAX MACHINE PANASONIC-OM01222,111,1001756,KX-FM131,ACTIVE,Current,27490.0
FELL PHOTODOCUMENTATION SYSTEM(COMPLETE SE,142,1002586,V01-7431,,ACTIVE,0.0
FF01807,2,1004321,RECEIPTION DESK-COPY,ACTIVE,Current,61578.36
FILE SHELF,35,1000371,,ACTIVE,Current,8000.0
FILING CABINET,55,1000998,,ACTIVE,Current,15000.0
FILING CABINET WITH GLASS -FF01896,67,1003576,,ACTIVE,Current,3403.0
FILING SHELF WITH GLASS,2,1005685,,ACTIVE,Current,8000.0
FILTER HEPA(FILLER S JAPAN),143,1002917,,,ACTIVE,0.0
FIRE ALARM,3,1000034,,,ACTIVE,0.0
FIRE ALARM SYSTEM,4,1000066,,,ACTIVE,0.0
FIRST AID KIT,5,1002121,,ACTIVE,Current,3000.0
FIRST AID KIT(RED CROSS)-PRICE ESTIMATE,144,1000829,,ACTIVE,Current,2000.0
FLOATING OUT BATH-OM02009,145,1001328,,ACTIVE,Current,64592.22
FLORID-METER SRC:USA MODEL: ORION,32,1005021,5577,,ACTIVE,0.0
FLOURESCENT MICROSCOPE MODEL 1DFISH-IDF100-,50,1002605,,ACTIVE,Current,1567060.0
