Description,No,Barcode,Serial Number,Status,Second,Cost
"DELL MONITOR 15""",214,1002668,CN-0RY980-46633-75F-5WPS,ACTIVE,Current,9000.0
"DELL MONITOR 17""",215,1002669,CN-0T5JNN-72872-E5FM,ACTIVE,Current,9000.0
DELL MONITOR MODEL E191121TC,220,1000422,110044-12,ACTIVE,Current,9000.0
DELL MONITOR MODEL E551,221,1000490,CN0724JR-46633-359-15X8,ACTIVE,Current,9000.0
DELL MONITOR MODEL:KE 212-B,223,1000429,225-ONHC-H01,ACTIVE,Current,9000.0
DELL MOUSE,5,1000080,011D3V-71581-229-0378,ACTIVE,Current,200.0
DELL SCANNER,9,1003906,HPG2710,ACTIVE,Current,5000.0
DELL SPEAK,10,1001158,,ACTIVE,Current,2500.0
DELL SPEAKER,11,1001194,,ACTIVE,Current,2500.0
DELL UPS,113,1003503,SUA22001,ACTIVE,Current,5000.0
DELL UPS 650,136,1000365,,ACTIVE,Acquired,5000.0
DELL UPS 650 APC,138,1001660,,ACTIVE,Acquired,5000.0
DELL UPS 650TW,146,1003761,,ACTIVE,Acquired,5000.0
DELL UPS APC650,147,1003987,,ACTIVE,Acquired,5000.0
DELL UPS BX650C,148,1006317,,ACTIVE,Acquired,5000.0
DESK,27,1002766,,ACTIVE,Current,15000.0
DIAVERT MICROSCOPE,28,1002685,9870088,ACTIVE,Current,145000.0
DIGITAL CAMERA MICROSCOPE DXM 1200 F(24408),29,1002813,,,ACTIVE,0.0
DIGITAL STORAGE OSCILLOSCOPE MODEL:D556521,37,1000414,D556521,ACTIVE,0.00,
DISSECTING MICROSCOPE - CABINET 3,30,1002972,1010973,ACTIVE,Current,5000.0
DISSECTING MICROSCOPE CD-S(NIKON) CABINET 4,31,1002955,1011009,ACTIVE,Current,5000.0
DISSECTING MICROSCOPE CD-S(NIKON)-SALVG(198,32,1002956,1010992,ACTIVE,Current,10000.0
"DISSECTING MICROSCOPE MFG: NIKKON, ECLIPSE T",38,1006685,,ACTIVE,Current,5000.0
DISSECTING MICROSCOPE MFG: OLYMPUS,39,1006684,,ACTIVE,Current,5000.0
DISSECTING MICROSCOPE(NIKON),40,1002818,1010865,ACTIVE,Current,5000.0
DISSECTING MICROSCOPE-SALVG(2003),41,1002973,1010823,ACTIVE,Current,10000.0
DISTILLER-OM02359,21,1006614,ETFS,ACTIVE,Current,308286.0
DISTRIBUTOR,104,1001898,31330700006,,ACTIVE,0.0
DNA EXTRACTION MACHINE EXIPREP 1-OM01221,105,1001840,DX-1302027,ACTIVE,Current,2429222.0
DNA EXTRACTION MACHINE EXIPREP 2-OM01221,106,1001839,DX-1302028,ACTIVE,Current,2429222.0
DNA EXTRACTION MACHINE EXIPREP 3-OM01221,107,1001838,DX-1302029,ACTIVE,Current,2429222.0
DNDI BUILDING,9,1006785,,ACTIVE,Current,4733466.0
DOUBLE DISTILLER - AQUATRON A4000D DST/01,108,1002429,,,ACTIVE,0.0
DOUBLE SHAKER,24,1000904,5042212,ACTIVE,0.00,0.0
DOUBLE SHAKER NR-30(TAITECH JAPAN),110,1002920,5042214,,ACTIVE,0.0
DOUBLE SHAKER NR-50(TAITECH JAPAN),111,1002926,5042215,,ACTIVE,0.0
DRAWER,48,1001680,,ACTIVE,Current,5000.0
DRAWERS - METALLIC UCHIDA-PRICE ESTIMATE,1,1000042,,ACTIVE,Current,6000.0
DRIER (PRECISION) MODEL 4EM-OM02148,113,1002692,10-AJ11,ACTIVE,Current,3552.56
DRILLING MACHINE AKTIE BOLAGET-OM00276,25,1006565,32383,ACTIVE,Current,8307.0
DRILLING MACHINE FLATT,26,1006564,00848,ACTIVE,0.00,
DRILLING MACHINE KIRA,27,1000330,452710,ACTIVE,Current,9439.0
DRIP STAND,52,1000529,,ACTIVE,Current,1000.0
DRUG SHELF,32,1000398,,ACTIVE,Current,8000.0
DRY POWDER EXTINGUISHER-PRICE ESTIMATE,2,1000095,,ACTIVE,Current,12000.0
DRY VACUUM PUMP MIXIMADAY-OM01970,114,1002432,KE/EP1-52,ACTIVE,Current,183690.0
DRYER(PARAGON) MODEL:6558 BECKMAN,23,1006738,2435,ACTIVE,0.00,
DRYING OVEN,115,1002410,BTJ0070,ACTIVE,Current,220000.0
DRYING OVEN MODEL MEMMERT,116,1003275,185108,ACTIVE,Current,220000.0
DRYING OVEN MODEL N30C-OM01022,117,1003299,92M031,ACTIVE,Current,14923.0
DRYING OVEN MODEL PM-400-OM01022,118,1001290,,ACTIVE,Current,14923.0
DRYING OVEN MODEL SUKURA TK-21,119,1003186,4308090,ACTIVE,Current,220000.0
DRYING OVEN MODEL:T5050 HERAEUS-OM01633,24,1006724,8204267,ACTIVE,Current,14212.0
DRYING OVEN TK-21-OM01636,120,1000142,4410131,ACTIVE,Current,18476.0
DRYING OVEN-OM01764,121,1001329,03020110,ACTIVE,Current,15889.0
DUST BIN,55,1002597,,ACTIVE,Current,1500.0
DUSTBIN,56,1002598,,ACTIVE,Current,1500.0
ECG LIFE SCOPE 8 MONITOMODEL: OEC - 3500,122,1000129,,,ACTIVE,0.0
ECG MACHINE 1 501.1-1,123,1001456,,,ACTIVE,0.0
ECG MACHINE 109201394709,124,1001461,,,ACTIVE,0.0
ECG MACHINE 2,126,1001454,501.1-M90,ACTIVE,Current,70000.0
ECG MACHINE 3 9620M-OM00639,127,1001455,,ACTIVE,Current,13090.0
ELECTROFORENSIC BIO-RAD,128,1002385,,,ACTIVE,0.0
ELECTROMANTLE MODEL:EM2000,25,1006777,10595375,ACTIVE,0.00,
ELECTRON MICROSCOPE BLOCK,10,1006784,,ACTIVE,Current,12371853.6
ELECTRONIC BALANCE(MC-300)-SALVG-SALVG,129,1002347,,ACTIVE,Current,5000.0
ELECTRONIC WEIGHING SCALE,130,1000144,7126411109,,ACTIVE,0.0
ELECTROPHORETIC GEL SYS MODEL MAXICELL PRIM,131,1002588,,,ACTIVE,0.0
ELECTROPHORETIC GEL SYSTEM POWER SUPPLY 250/,132,1002589,771BR1044,ACTIVE,Current,20457.0
ELISA READER ELX 800UV(BIOTECH INSTRUMENTS),133,1002822,266048,ACTIVE,Current,305140.0
ELISA READER MINDRTAY MW-12A,134,1002382,WF26102378,,ACTIVE,0.0
ELISA READER MODEL 340,135,1002054,1208-028,ACTIVE,Current,305140.0
ELISA READER MODEL:RM521 MFG:LABSYSTEMS,27,1006688,3550,ACTIVE,Current,305140.0
ELISA READER TPA ELX800UV(BIOTECH INSTRUMENTS,136,1002817,241990,ACTIVE,Current,305140.0
ELISA READER(TITERTEK MULTISKAN MCC) MODEL 34,137,1002055,1908037,ACTIVE,Current,305140.0
EMERGENCY TROLLEY,57,1001460,,ACTIVE,Current,3266.56
ENDOSCOPIC TROLLEY MODEL: KT-1,59,1000126,,,ACTIVE,0.0
ENDOSCOPY COUCH MODELK1020B,60,1000122,,,ACTIVE,0.0
ENDOSCOPY UNIT MODEL OLYMPUS CLV-U40-OM0,138,1000125,,ACTIVE,Current,44244.0
ENGINEERING WORKSHOP,11,1006791,,ACTIVE,Current,5317044.0
EPSON PRINTER MODEL DFX900,2,1001153,GKL-002550,ACTIVE,Current,25000.0
EPSON SCANNER,26,1003984,V500,ACTIVE,Current,16197.0
EPSON SCANNER MODEL: 3170 PHOTO,28,1006410,E98W126145,ACTIVE,Current,16197.0
EVAPORATOR(CENTRIVAP) MODEL:7810001B) LABC,28,1006741,265703,ACTIVE,0.00,
EVAPORATOR(THIN FILM) MODEL:CH 4711 MFG: GA,29,1006772,OC 4581E,ACTIVE,Current,5329.28
EXAMINATION COUCH-FF02087,61,1000084,,ACTIVE,Current,12581.36
EXAMINATION LIGHT-OM02043,139,1000200,,ACTIVE,Current,784.96
EXAMINATION TROLLEY,70,1000375,,ACTIVE,Current,3266.56
EXECUTIVE CHAIR,278,1001584,,ACTIVE,Current,25000.0
EXECUTIVE CHAIRS,470,1002202,,ACTIVE,Current,25000.0
EXECUTIVE SEAT,472,1001163,,ACTIVE,Current,25000.0
EXECUTIVE TABLE -FF02066,101,1000462,,ACTIVE,Current,41575.6
EXICYCLER,140,1001841,EX1-05C-1301039,,ACTIVE,0.0
EXPOSURE CONTROL UNIT,141,1001343,410071,,ACTIVE,0.0
EXTENSION CABLES,72,1000483,,ACTIVE,Current,1500.0
EXTRA LARGE MICROWAVE OVEN(RAMTONS) MODE,1,1002063,02995|1012|686,ACTIVE,Current,35000.0
FAX MACHINE PANAFAX-OM02464,51,1003770,UF-490,ACTIVE,Current,16711.2
FAX MACHINE PANASONIC-OM01222,111,1001756,KX-FM131,ACTIVE,Current,27490.0
FELL PHOTODOCUMENTATION SYSTEM(COMPLETE SE,142,1002586,V01-7431,,ACTIVE,0.0
FILE SHELF,35,1000371,,ACTIVE,Current,8000.0
FILING CABINET,55,1000998,,ACTIVE,Current,15000.0
FILING CABINET WITH GLASS -FF01896,67,1003576,,ACTIVE,Current,3403.0
FILTER HEPA(FILLER S JAPAN),143,1002917,,,ACTIVE,0.0
FIRE ALARM,3,1000034,,,ACTIVE,0.0
FIRE ALARM SYSTEM,4,1000066,,,ACTIVE,0.0
FIRST AID KIT,5,1002121,,ACTIVE,Current,3000.0
FIRST AID KIT(RED CROSS)-PRICE ESTIMATE,144,1000829,,ACTIVE,Current,2000.0
FLOATING OUT BATH-OM02009,145,1001328,,ACTIVE,Current,64592.22
FLOURESCENT MICROSCOPE MODEL 1DFISH-IDF100-,50,1002605,,ACTIVE,Current,1567060.0
FLOURESCENT MICROSCOPE-OM02385,51,1002912,754630,ACTIVE,Current,1567060.0
FLUOROSCOPY MACHINE(COMPLETE SET),146,1000201,,,ACTIVE,0.0
FOLDING MACHINE,147,1006569,68C/2484,,ACTIVE,0.0
FOOD STAND-PRICE ESTIMATE,75,1000833,,ACTIVE,Current,14000.0
FOOTSTAND-ESTIMATE-ESTIMATE,76,1001523,,ACTIVE,Current,1000.0
FOTODYNE COMPLETE SET MODEL 60-2507,148,1003303,MVC2-1108-1008,,ACTIVE,0.0
FOTODYNE TOTO/PREP PTL2,149,1002380,,,ACTIVE,0.0
FREEZER (THERMO SCIENTIFIC),150,1001385,0114783601100602,,ACTIVE,0.0
FREEZER - SHARP-OM02217,7,1002383,V00306,ACTIVE,Current,23587.0
FREEZER -30C-OM02217,8,1001857,120100002,ACTIVE,Current,23587.0
FREEZER -40 SANYO-OM02217,9,1002341,30910094,ACTIVE,Current,23587.0
FREEZER -80C SANYO,10,1006118,S30504753,ACTIVE,Current,32000.0
FREEZER DRYER MODEL:MODULYO EF4 EDWARDS,11,1006743,2216,ACTIVE,0.00,
FREEZER GEC -20C-OM02217,12,1002351,S/104/0,ACTIVE,Current,23587.0
FREEZER HAIER-OM02217,13,1002526,HCF4784H-2,ACTIVE,Current,23587.0
FREEZER MODEL 6382,15,1003289,DE67770231,ACTIVE,Current,32000.0
FREEZER MODEL GTK0007,17,1003363,K01D145,ACTIVE,Current,32000.0
FREEZER MODEL L055WS,18,1002601,7A001316,ACTIVE,Current,180000.0
FREEZER MODEL SANYO ULTR LOW MODEL MDF-592,20,1003081,20607691,ACTIVE,Current,180000.0
FREEZER SANYO,23,1006293,ITJ0070,ACTIVE,Current,41396.55
FREEZER ULRALOW-OM02217,29,1000885,3112103,NOT WORKING,Current,23587.0
FREEZER(CHEST) MODEL:BOSCH,30,1006727,MTJ2054,ACTIVE,Current,78000.0
FREEZER-OM02217,32,1001883,50405697,ACTIVE,Current,23587.0
FRIDGE,34,1001881,50404945,ACTIVE,Current,32000.0
FRIDGE (TROPICAL ARISTON),40,1000402,CTR 0016,ACTIVE,Current,32000.0
FRIDGE + 2C + 8C,42,1001856,50404946,ACTIVE,Current,32000.0
FRIDGE 2C + 8C,43,1001858,50404953,ACTIVE,Current,32000.0
FRIDGE BIOMEDICAL MPR-311D(H)(SANYO MEDICO,44,1002832,50404951,ACTIVE,0.00,
FRIDGE DAEWOO,45,1002384,1EGZE070,ACTIVE,Current,32000.0
FRIDGE FREEZER #5 MODEL MDF - 594,46,1003365,08120115,ACTIVE,Current,32000.0
FRIDGE FREEZER MODEL CANARY,47,1003364,2544076527,ACTIVE,Current,32000.0
FRIDGE IDNESIT,49,1003828,381946TB,ACTIVE,Current,32000.0
FRIDGE K02029,50,1000812,500003,ACTIVE,Current,32000.0
FRIDGE LG,51,1004027,GR-T342GR,ACTIVE,Current,32000.0
FRIDGE LG MODEL 302,52,1002151,3850JH3036G,ACTIVE,Current,32000.0
FRIDGE MODEL 047,53,1002123,90267384,ACTIVE,Current,32000.0
FRIDGE MODEL 251E,54,1002112,008475,ACTIVE,Current,32000.0
FRIDGE MODEL 6R-209EX,55,1002109,026348,ACTIVE,Current,32000.0
FRIDGE MODEL ACME,56,1003208,,ACTIVE,Current,32000.0
FRIDGE MODEL CYCLAMMATION,57,1003361,00247,ACTIVE,Current,32000.0
FRIDGE MODEL LIEBNERR COMFORT,58,1003300,,,ACTIVE,0.0
FRIDGE MODEL LIEGHERR PROFILINE-OM00979,59,1003301,,ACTIVE,Current,31900.0
FRIDGE PANASONIC,60,1000915,13030029,ACTIVE,Current,32000.0
FRIDGE PHARMACEUTICAL MODEL:HIMAG SANYO,61,1006691,,ACTIVE,Scrap value,4974.0
FRIDGE RAMTONS,62,1006236,03821/1087,ACTIVE,Current,32000.0
FRIDGE SAMSUNG 2281,63,1003703,,ACTIVE,Current,32000.0
FRIDGE SANYO,64,1006272,0049,ACTIVE,Current,32000.0
FRIDGE SANYO - 7040053,70,1002391,,ACTIVE,Current,32000.0
FRIDGE SANYO MEDICAL FREEZER MODEL MDF-330,71,1003302,830572,ACTIVE,Current,16344.0
FRIDGE SANYO MODEL: XR001N,72,1001312,4082446,ACTIVE,Current,32000.0
FRIDGE SANYO REF3,73,1006295,,ACTIVE,Current,32000.0
FRIDGE SANYO REF4,74,1006296,,ACTIVE,Current,32000.0
FRIDGE SANYO-OM01921,75,1002272,,ACTIVE,Current,10659.0
FRIDGE SIBIR-OM01505,76,1002350,00187,ACTIVE,Current,9029.0
FRIDGE WHIRLPOOL-OM00979,77,1002419,A201620,ACTIVE,Current,31900.0
FRIDGE WHITE WETING HOUSE MODEL CTW0005,78,1003358,K01N173,ACTIVE,Current,32000.0
FRIDGE- SANYU,79,1000758,,ACTIVE,Current,32000.0
FRIDGE/FREEZE #11 (BIOHAZARD) MODEL BOSCH,80,1002635,K01C/82,ACTIVE,Current,32000.0
FRIDGE/FREEZE #16 MODEL SR-D49EKW,81,1002634,4050054,ACTIVE,Current,32000.0
FRIDGE/FREEZE #9 (BIOHAZARD) MODEL SR-35DNR,82,1002636,00700245,ACTIVE,Current,32000.0
FRIDGE/FREEZER MODEL LEC,83,1003355,,ACTIVE,Current,32000.0
FUCKING PUMP MODEL MJ2-OM01954,151,1002608,20106717,ACTIVE,Scrap value,3197.0
GARMENT PRESS-IRON DRIER MACHINE,53,1000737,26222621,ACTIVE,0.00,
GAS CHROMATOGRAPH MODEL:GC8A MFG:SHIMA,31,1006765,37660R,ACTIVE,Current,355300.0
GAS CYLINDER MODEL MVE-OM02017,19,1003352,,ACTIVE,Current,16677.76
GAS CYLINDER-OM02017,29,1000342,TP4170P,NOT WORKING,Current,16677.76
GEL DRYER MODEL 583,152,1003298,187BR6011068,,ACTIVE,0.0
GEL TANK,153,1002995,,,ACTIVE,0.0
GENERATOR ROOM,12,1006789,,ACTIVE,Current,4992834.0
GENERATOR ROOM 2(HQ),13,1006807,,ACTIVE,Current,1210384.0
GLASS CABINET,70,1003155,,ACTIVE,Current,35000.0
GLASS CABINET-FF01798,72,1000555,,ACTIVE,Current,9381.0
GLASS SHELF-PRICE ESTIMATE,43,1005887,,ACTIVE,Current,12000.0
GLASS TABLE-ESTIMATE FROM FF01891,105,1003710,,ACTIVE,Current,6688.0
GRIDDLE GRILL - VIRTUS,21,1000768,,,ACTIVE,0.0
GUEST TABLE,109,1002215,,ACTIVE,Current,12000.0
GYRO-ROCKER SSL3-STUART(BIBBY STERILIN LTD UK),154,1002919,R000100197,ACTIVE,Current,65000.0
HAEMOLOGY ANALYZER,32,1000900,0614-900355C,ACTIVE,0.00,
HAND GRINDER,33,1000344,0358703,ACTIVE,0.00,
HANG STAND,77,1000742,,,ACTIVE,0.0
HASE SAFE-ESTIMATE|INTERNET,78,1001470,,ACTIVE,Current,3000.0
HEAT BLOCK MODEL MAG-H,155,1002654,,,ACTIVE,0.0
HEAT BLOCK(HOT PLATE) MODEL 210T 311B,156,1002064,,,ACTIVE,0.0
HEATING BLOCK LAB LINE,157,1002499,11960046,,ACTIVE,0.0
HEATING BLOCK MODEL 92333,158,1002547,1063010112172,,ACTIVE,0.0
HEMATOLOGY ANALYZER KX-21N(SYSMEX CORP),159,1002804,A6934,,ACTIVE,0.0
HEPA FILTERS BCM 13035(FILLER S JAPAN),160,1002823,,,ACTIVE,0.0
HEWLETT PRINTER MODEL:C4562A,3,1006754,ES75C190NS,,ACTIVE,0.0
HIGH SPEED CENTRIFUGE,34,1000902,1291555,ACTIVE,Current,191601.0
HIGH SPEED CENTRIFUGE UPS FOR HIGH SPEED-OM0,158,1000841,129154,ACTIVE,Current,77138.0
HIGH SPEED MICRO CENTRIFUGE REFRIGERATED H(K,161,1002891,MFG-NO: 120157,ACTIVE,Current,16711.2
HIGHSPEED CENTRIFUGE BECKMAN-OM02076,162,1002388,ALR98L83,ACTIVE,Current,185983.0
HIGHSPEED CENTRIFUGE(TOMY MX-160)-OM02069,163,1002342,16000,ACTIVE,Current,185983.0
HITACHI MICROWAVE MR-M250,2,1002497,6006586,,ACTIVE,0.0
HIV FREEZER/004 ULTRA-LOW,84,1003674,8090722,,ACTIVE,0.0
HOOD(FUNA BOX IMAGING SYSTEM),164,1002886,113-0033,,ACTIVE,0.0
HOSE REEL-ESTIMATE,9,1000065,,ACTIVE,Current,9000.0
HOT AIR OVEN(SAKURA)-OM01927,55,1002289,4308092,ACTIVE,Current,14923.0
HOT AIR STERILIZER HE-21-OM01879,43,1003682,K10J348,NOT WORKING,Current,14923.0
HOT AIR STERILIZER-OM01879,44,1002409,BTJ0065,ACTIVE,Current,14923.0
HOT PLATE MODEL PRECISA 481MC-FR5C5,165,1003286,89400,,ACTIVE,0.0
HOT PLATE MODEL RETCVC,166,1003294,01.553981,,ACTIVE,0.0
HOT PLATE MODEL:TP35 TOYO,32,1006749,491901,ACTIVE,0.00,
HOT PLATE STIRRER CB302(BIBBY STERLIN LTD UK),167,1002888,R000100364A,ACTIVE,Current,27100.48
HP BUSINESS INKJET MODEL 2300-SCRAP VALUE,4,1002141,CN62N3Z0MX,ACTIVE,Current,1000.0
HP COLOR LASERJET 0027,5,1001798,,ACTIVE,Current,107184.0
HP COLOR LASERJET 2600N,6,1003611,,ACTIVE,Current,107184.0
HP COLORJET-OM02472,8,1003769,CP3525DN,ACTIVE,Current,92195.0
HP CPU,268,1003498,CZC9413MKY,ACTIVE,Acquired,60000.0
HP CPU MODEL ET115AV,279,1002144,2VA73612N8,ACTIVE,Scrap value,4500.0
HP DESKJET,9,1000324,,ACTIVE,Current,11866.8
HP DESKJET 5,10,1003706,C6487C,ACTIVE,Current,11866.8
HP KEYBOARD,206,1000230,5391-130-L31,ACTIVE,Acquired,5000.0
HP KEYBOARD KU-0316,217,1006447,,ACTIVE,Acquired,5000.0
HP KEYBOARD MODEL: KB-0316,218,1000405,BC3250BV7BM5,ACTIVE,Current,500.0
HP LAPTOP PREMIUM SOUND,280,1006252,,ACTIVE,Current,20000.0
HP LASER JET 1320,11,1001350,CNHK29656,ACTIVE,Current,25000.0
HP LASER JET M1120MFP MODEL:B10SB-0604-03,12,1000495,CNT899GBLK,ACTIVE,Current,25000.0
HP LASER JET P2055DN,13,1000113,CNC1730788,ACTIVE,Current,25000.0
HP LASER JET PRINTER,14,1001066,CNC1B04967,ACTIVE,Current,25000.0
HP LASER JET PRINTER 1536DMF,15,1000597,,ACTIVE,Current,21700.0
HP LASER JET PRINTER MODEL 1300,16,1001036,,OBSOLETE,Current,25000.0
HP LASER JET PRINTER MODEL:P2055DN,17,1000211,CNCKH05262,ACTIVE,Current,25000.0
HP LASER PRINTER,18,1001091,CNC989JGRZ,ACTIVE,Current,25000.0
HP LASERJET 1020-CO00599,19,1000138,CNCKM04879,ACTIVE,Current,7865.0
HP LASERJET 1300-CO00599,20,1006188,,ACTIVE,Current,7865.0
HP LASERJET 1320 NW-CO00599,21,1002511,CNCJF48715,ACTIVE,Current,7865.0
HP LASERJET 1320-CO00599,23,1003504,CNMKM52068,ACTIVE,Current,7865.0
HP LASERJET 1320N-CO00599,24,1005918,CNMJP70721,ACTIVE,Current,7865.0
HP LASERJET 1560 DNF-CO00599,26,1001792,CNCN9D1MCBG,ACTIVE,Current,7865.0
HP LASERJET MODEL P2015-CO00599,31,1001137,CNBW74D7DB,ACTIVE,Current,7865.0
HP LASERJET MODEL P2055DN-CO00599,33,1003477,VNC3F63496,ACTIVE,Current,7865.0
HP LASERJET MODEL: P2022D-CO00599,35,1005798,CNCJC75920,ACTIVE,Current,7865.0
HP LASERJET P20255D-CO00599,38,1003084,NC3B6927A,ACTIVE,Current,7865.0
HP LASERJET P2055D-CO00599,39,1003722,VNC3F63498,ACTIVE,Current,7865.0
HP LASERJET PRINTER 2605DN-CO00599,43,1003704,CN85JA61B5,ACTIVE,Current,7865.0
HP LASERJET PRINTER MODEL 1320-CO00599,44,1003027,CNHJL8068,ACTIVE,Current,7865.0
HP LASERJET PRINTER MODEL C3990A-CO00599,46,1001924,CN2M165439,ACTIVE,Current,7865.0
HP LASERJET PRINTER MODEL CP1515N-CO00599,47,1002111,CN273855,ACTIVE,Current,7865.0
HP LASERJET PRINTER MODEL CP1525N-CO00599,48,1001976,,ACTIVE,Current,7865.0
HP LASERJET PRINTER MODEL M1522NF-CO00599,49,1003601,CNC989KJ0H,ACTIVE,Current,7865.0
HP LASERJET PRINTER MODEL P1102W-CO00599,50,1000183,NNC4B65834,ACTIVE,Current,7865.0
HP LASERJET PRINTER MODEL: P2055-CO00627,51,1003018,CNCJB99290,ACTIVE,Current,25713.0
HP LASERJET PRINTER MODEL:MA319F-CO00599,54,1006505,CNCZ83FHH4,ACTIVE,Current,7865.0
HP LASERJET PRINTER MODEL:P2015-CO00599,55,1006451,,ACTIVE,Current,7865.0
HP LASERJET PRINTER PRO-CO00599,56,1005789,VNH6J09531,ACTIVE,Current,7865.0
HP LASERJET PRINTER-CO00599,57,1003913,CP1215,ACTIVE,Current,7865.0
HP LASERJET PRO 400-CO00599,64,1006187,VNH5800628,ACTIVE,Current,7865.0
HP LASERJET SCANNER-CO00599,65,1001751,5590,ACTIVE,Current,7865.0
HP LASERJET-CO00631,66,1001662,P2055DN,ACTIVE,Current,32340.0
HP LASETJET PRINTER MODEL 2300DN,71,1001921,CNCFL09975,ACTIVE,Current,25000.0
HP MONITOR,225,1006571,3CQ9201BB8,ACTIVE,Current,9000.0
"HP MONITOR 14""",231,1003467,R33001,ACTIVE,Current,9000.0
HP MONITOR HPL1TIO,234,1006319,456566,ACTIVE,Current,9000.0
HP MONITOR MODEL 1730,235,1003399,CNP450V43Z,ACTIVE,Current,9000.0
HP MONITOR MODEL 45590-101,236,1000491,3CQ9010MFT,ACTIVE,Current,9000.0
HP MONITOR MODEL UP 7540,237,1003059,CNC5041CMV,OBSOLETE,Current,9000.0
HP OFFICEJET PRO 8500A PLUS,73,1002239,CN19DQ31D,ACTIVE,Current,25000.0
HP PRINTER,74,1002175,JPCF17037,ACTIVE,Current,25000.0
HP PRINTER LASERJET 2300DN,88,1002247,CNCFF74277,ACTIVE,Current,25000.0
HP PRINTER MODEL MS451DN,1,1004039,,ACTIVE,Current,25000.0
HP SCANJET 5590-CO00598,94,1003479,L1199B,ACTIVE,Scrap value,2860.0
HP SCANJET A2710-CO00598,96,1003480,L2696A-231,ACTIVE,Scrap value,2860.0
HP SCANJET MODEL G3110-CO00598,98,1005790,CN6223BA0RP,ACTIVE,Scrap value,2860.0
HP SCANJET-CO00598,102,1001797,G2410,ACTIVE,Scrap value,2860.0
HPLC(PREPARATIVE),168,1006757,,,ACTIVE,0.0
HYBRIDISATION INCUBATOR MODEL ST02HS,169,1003315,R000100012,,ACTIVE,0.0
HYBRIDISATION OVEN MODEL 7601,170,1003316,10147801D,,ACTIVE,0.0
IBM CPU,281,1001923,8132277G-LMLN9NR,ACTIVE,Acquired,60000.0
IBM CPU MODEL:6587,282,1006752,558M9FZP166,ACTIVE,Acquired,60000.0
IBM DESKTOP COMPUTER,30,1000850,LMLN9LL,ACTIVE,Current,60000.0
IBM MONITOR,238,1001922,3850T12613Q,ACTIVE,Current,9000.0
"IBM MONITOR 14""",239,1001928,VC-24169,ACTIVE,Current,9000.0
IBM MONITOR MODEL:6547-21N-PRICE ESTIMATE,240,1006753,,ACTIVE,Current,8000.0
IBM PRINTER,103,1003899,1357,NOT WORKING,Current,25000.0
ICE FLAKER AF 100(SCOTSMAN)-OM00947,171,1002892,DA256775,ACTIVE,Current,183824.0
ICE MAKER MODEL:SCOTSMAN-OM02336,34,1006408,DA28195,ACTIVE,Current,353929.0
ICE MAKER-OM02336,35,1006409,DA020585,NOT WORKING,Current,353929.0
ICEMAKER - HOSHIZAKI-OM02336,56,1000791,D00910,NOT WORKING,Current,353929.0
IMAC COMPUTER,283,1003048,KY606067UUB6A,ACTIVE,Current,45000.0
"IMAC MONITOR 14""-PRICE ESTIMATE",241,1002244,KY1250YKFK4VC,ACTIVE,Current,60000.0
IMARK COMPUTER,284,1002140,KY54205T50PBB,ACTIVE,Current,45000.0
IMPULSE SEALER,38,1000912,TISH300,ACTIVE,0.00,
INBUILT CABINET,73,1003563,,ACTIVE,Current,15000.0
INCUBATOR,45,1006621,8000NC,ACTIVE,Current,65000.0
INCUBATOR (MEMMERT),46,1002690,,ACTIVE,Current,72353.0
INCUBATOR - CO2-OM02280,47,1000893,10020048,ACTIVE,Current,489202.56
INCUBATOR ADVANTEC-OM00522,48,1001885,45028,ACTIVE,Current,787292.0
INCUBATOR CO2-OM01041,49,1000894,35277,ACTIVE,Current,31977.0
INCUBATOR IF-3B-OM01938,50,1002287,KI0F017,ACTIVE,Current,9593.0
INCUBATOR JOVAN,53,1002377,K10T009,,ACTIVE,0.0
INCUBATOR MODEL 1F-8E,54,1002057,Y4410803,,ACTIVE,0.0
INCUBATOR ORBITAL,55,1002659,,,ACTIVE,0.0
INCUBATOR SANYO,56,1001876,1010026,,ACTIVE,0.0
INCUBATOR STUART SCIENTIFIC,58,1002433,R0Q100009,,ACTIVE,0.0
INCUBATOR TVA 660DA(TOYO SEISAKUSHO KAISHA,59,1002824,45022,ACTIVE,Current,68745.6
INCUBATOR-GYRO-ROCKER(5170),61,1002490,R000001,ACTIVE,Current,65000.0
INTELLIGENT CLINICAL CHEMISTRY ANALYSER,172,1000155,100301,ACTIVE,Current,1500000.0
INTELLO WAVE MODEL MS-19422G,174,1002644,710TATG00545,ACTIVE,Current,13000.0
INTERCOM NATIONAL,112,1001595,,,ACTIVE,0.0
INTERGRATOR MODEL:CRIB MFG:SHIMADZU,175,1006766,121113,,ACTIVE,0.0
INVERTED MICROSCOPE,52,1000892,60402,ACTIVE,Current,8000.0
INVERTED MICROSCOPE NIKON ECLIPSE TS100,54,1000887,602399,ACTIVE,Current,8000.0
INVERTED MICROSCOPE TS 100,55,1002911,401782,ACTIVE,Current,8000.0
INVERTED MICROSCOPE(OLYMPUS),56,1002399,K10243,ACTIVE,Current,8000.0
ISO FLOW DISPENSER (SPRY MACHINE),176,1001845,103200,,ACTIVE,0.0
JELL CAMERA MODEL: QSP 46400,177,1002069,,,ACTIVE,0.0
KEYBOARD,219,1000326,CN0RH6566589079M02XZ,ACTIVE,Current,5000.0
